x rho u p ie
0.00125 1.0 0.0 1.0 2.5000000000000004
0.00375 1.0 0.0 1.0 2.5000000000000004
0.00625 1.0 0.0 1.0 2.5000000000000004
0.00875 1.0 0.0 1.0 2.5000000000000004
0.01125 1.0 0.0 1.0 2.5000000000000004
0.01375 1.0 0.0 1.0 2.5000000000000004
0.01625 1.0 0.0 1.0 2.5000000000000004
0.018750000000000003 1.0 0.0 1.0 2.5000000000000004
0.021249999999999998 1.0 0.0 1.0 2.5000000000000004
0.02375 1.0 0.0 1.0 2.5000000000000004
0.026250000000000002 1.0 0.0 1.0 2.5000000000000004
0.028749999999999998 1.0 0.0 1.0 2.5000000000000004
0.03125 1.0 0.0 1.0 2.5000000000000004
0.03375 1.0 0.0 1.0 2.5000000000000004
0.036250000000000004 1.0 0.0 1.0 2.5000000000000004
0.03875 1.0 0.0 1.0 2.5000000000000004
0.04125 1.0 0.0 1.0 2.5000000000000004
0.04375 1.0 0.0 1.0 2.5000000000000004
0.04625 1.0 0.0 1.0 2.5000000000000004
0.04875 1.0 0.0 1.0 2.5000000000000004
0.051250000000000004 1.0 0.0 1.0 2.5000000000000004
0.05375 1.0 0.0 1.0 2.5000000000000004
0.05625 1.0 0.0 1.0 2.5000000000000004
0.05875 1.0 0.0 1.0 2.5000000000000004
0.06125 1.0 0.0 1.0 2.5000000000000004
0.06375 1.0 0.0 1.0 2.5000000000000004
0.06625 1.0 0.0 1.0 2.5000000000000004
0.06875 1.0 0.0 1.0 2.5000000000000004
0.07125000000000001 1.0 0.0 1.0 2.5000000000000004
0.07375 1.0 0.0 1.0 2.5000000000000004
0.07625 1.0 0.0 1.0 2.5000000000000004
0.07875 1.0 0.0 1.0 2.5000000000000004
0.08125 1.0 0.0 1.0 2.5000000000000004
0.08375 1.0 0.0 1.0 2.5000000000000004
0.08625000000000001 1.0 0.0 1.0 2.5000000000000004
0.08875 1.0 0.0 1.0 2.5000000000000004
0.09125 1.0 0.0 1.0 2.5000000000000004
0.09375 1.0 0.0 1.0 2.5000000000000004
0.09625 1.0 0.0 1.0 2.5000000000000004
0.09875 1.0 0.0 1.0 2.5000000000000004
0.10125 1.0 0.0 1.0 2.5000000000000004
0.10375000000000001 1.0 0.0 1.0 2.5000000000000004
0.10625 1.0 0.0 1.0 2.5000000000000004
0.10875 1.0 0.0 1.0 2.5000000000000004
0.11125 1.0 0.0 1.0 2.5000000000000004
0.11375 1.0 0.0 1.0 2.5000000000000004
0.11625 1.0 0.0 1.0 2.5000000000000004
0.11875 1.0 0.0 1.0 2.5000000000000004
0.12125 1.0 0.0 1.0 2.5000000000000004
0.12375 1.0 0.0 1.0 2.5000000000000004
0.12625 1.0 0.0 1.0 2.5000000000000004
